,Document,Topic,Name,CustomName,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,o brasil vai decidir neste ano se tarado por vacina ou pela morte.,4,4_brasil_mortes_mil_covid,Mortes de COVID-19,"['brasil', 'mortes', 'mil', 'covid', 'vidas', 'brasileiros', 'mortos', 'governo', 'perdidas', 'auxlio']","['ultrapassamos hoje a triste marca de mil mortes pela covid19. o brasil est de luto por todas as vidas interrompidas. a nossa solidariedade a todos que perderam entes queridos. precisamos urgentemente de uma vacina e de um governo que tenha compromisso com a populao.', 'hoje o brasil alcanou tristemente a marca de mil mortos por covid-19 no brasil. meio milho de vidas que se foram, mais da metade delas por falta de vacinas e a outra por omisso de bolsonaro na pandemia. o brasil est de luto.', 'mortos pela negligncia de um governo negacionista que atrasou o acesso vacina e medidas sanitrias fundamentais. o brasil o pas no mundo c/ mais mortos por covid-19, e o q mais teve mortes em . forabolsonaro pelas vidas perdidas e pelas famlias em luto.']",brasil - mortes - mil - covid - vidas - brasileiros - mortos - governo - perdidas - auxlio,0.3203170097278637,False
67,brasiln2.286 mortes em h\n1 morte a cada segundos\n\n54 nibus lotados; ou\n14 avies tipo -700; ou\n140 vans lotadas.\n\nseguimos sem governo e sem vacina.\n\nbolsonarogenocida,4,4_brasil_mortes_mil_covid,Mortes de COVID-19,"['brasil', 'mortes', 'mil', 'covid', 'vidas', 'brasileiros', 'mortos', 'governo', 'perdidas', 'auxlio']","['ultrapassamos hoje a triste marca de mil mortes pela covid19. o brasil est de luto por todas as vidas interrompidas. a nossa solidariedade a todos que perderam entes queridos. precisamos urgentemente de uma vacina e de um governo que tenha compromisso com a populao.', 'hoje o brasil alcanou tristemente a marca de mil mortos por covid-19 no brasil. meio milho de vidas que se foram, mais da metade delas por falta de vacinas e a outra por omisso de bolsonaro na pandemia. o brasil est de luto.', 'mortos pela negligncia de um governo negacionista que atrasou o acesso vacina e medidas sanitrias fundamentais. o brasil o pas no mundo c/ mais mortos por covid-19, e o q mais teve mortes em . forabolsonaro pelas vidas perdidas e pelas famlias em luto.']",brasil - mortes - mil - covid - vidas - brasileiros - mortos - governo - perdidas - auxlio,0.27140731454682854,False
461,apenas um lockdown nacional imediato com auxlio emergencial e criao de uma comisso nacional para mudar totalmente o rumo do manejo da pandemia e aumentar vacinao x poder nos dar qualquer chance de salvar o brasil de uma hecatombe pica!,4,4_brasil_mortes_mil_covid,Mortes de COVID-19,"['brasil', 'mortes', 'mil', 'covid', 'vidas', 'brasileiros', 'mortos', 'governo', 'perdidas', 'auxlio']","['ultrapassamos hoje a triste marca de mil mortes pela covid19. o brasil est de luto por todas as vidas interrompidas. a nossa solidariedade a todos que perderam entes queridos. precisamos urgentemente de uma vacina e de um governo que tenha compromisso com a populao.', 'hoje o brasil alcanou tristemente a marca de mil mortos por covid-19 no brasil. meio milho de vidas que se foram, mais da metade delas por falta de vacinas e a outra por omisso de bolsonaro na pandemia. o brasil est de luto.', 'mortos pela negligncia de um governo negacionista que atrasou o acesso vacina e medidas sanitrias fundamentais. o brasil o pas no mundo c/ mais mortos por covid-19, e o q mais teve mortes em . forabolsonaro pelas vidas perdidas e pelas famlias em luto.']",brasil - mortes - mil - covid - vidas - brasileiros - mortos - governo - perdidas - auxlio,0.2920185092800909,False
472,o brasil chegou a marca de mil mortes. desesperador num pas que no tem um governo capaz de liderar medidas eficazes de combate pandemia e no investe na vacinao em massa\n\nvemvacina \nforabolsonaro,4,4_brasil_mortes_mil_covid,Mortes de COVID-19,"['brasil', 'mortes', 'mil', 'covid', 'vidas', 'brasileiros', 'mortos', 'governo', 'perdidas', 'auxlio']","['ultrapassamos hoje a triste marca de mil mortes pela covid19. o brasil est de luto por todas as vidas interrompidas. a nossa solidariedade a todos que perderam entes queridos. precisamos urgentemente de uma vacina e de um governo que tenha compromisso com a populao.', 'hoje o brasil alcanou tristemente a marca de mil mortos por covid-19 no brasil. meio milho de vidas que se foram, mais da metade delas por falta de vacinas e a outra por omisso de bolsonaro na pandemia. o brasil est de luto.', 'mortos pela negligncia de um governo negacionista que atrasou o acesso vacina e medidas sanitrias fundamentais. o brasil o pas no mundo c/ mais mortos por covid-19, e o q mais teve mortes em . forabolsonaro pelas vidas perdidas e pelas famlias em luto.']",brasil - mortes - mil - covid - vidas - brasileiros - mortos - governo - perdidas - auxlio,0.28595802015431726,False
678,"pela movimentao positiva que temos visto, tinha que ter jogo da seleo brasileira em manaus ao menos duas vezes por ano. as pessoas se vacinaram, doaram sangue podia servir pra outras coisas tambm. o que poderamos incentivar na populao s prometendo ingresso pra jogo?",4,4_brasil_mortes_mil_covid,Mortes de COVID-19,"['brasil', 'mortes', 'mil', 'covid', 'vidas', 'brasileiros', 'mortos', 'governo', 'perdidas', 'auxlio']","['ultrapassamos hoje a triste marca de mil mortes pela covid19. o brasil est de luto por todas as vidas interrompidas. a nossa solidariedade a todos que perderam entes queridos. precisamos urgentemente de uma vacina e de um governo que tenha compromisso com a populao.', 'hoje o brasil alcanou tristemente a marca de mil mortos por covid-19 no brasil. meio milho de vidas que se foram, mais da metade delas por falta de vacinas e a outra por omisso de bolsonaro na pandemia. o brasil est de luto.', 'mortos pela negligncia de um governo negacionista que atrasou o acesso vacina e medidas sanitrias fundamentais. o brasil o pas no mundo c/ mais mortos por covid-19, e o q mais teve mortes em . forabolsonaro pelas vidas perdidas e pelas famlias em luto.']",brasil - mortes - mil - covid - vidas - brasileiros - mortos - governo - perdidas - auxlio,1.0,False
697,"a prioridade no brasil a gerao de emprego e renda, combate fome e vacinao para todos. reforma eleitoral, voto impresso, distrito no deveriam estar em pauta, em plena pandemia. o governo federal e seus aliados no querem saber da dor do povo!\nvacinanobracoecomidanoprato",4,4_brasil_mortes_mil_covid,Mortes de COVID-19,"['brasil', 'mortes', 'mil', 'covid', 'vidas', 'brasileiros', 'mortos', 'governo', 'perdidas', 'auxlio']","['ultrapassamos hoje a triste marca de mil mortes pela covid19. o brasil est de luto por todas as vidas interrompidas. a nossa solidariedade a todos que perderam entes queridos. precisamos urgentemente de uma vacina e de um governo que tenha compromisso com a populao.', 'hoje o brasil alcanou tristemente a marca de mil mortos por covid-19 no brasil. meio milho de vidas que se foram, mais da metade delas por falta de vacinas e a outra por omisso de bolsonaro na pandemia. o brasil est de luto.', 'mortos pela negligncia de um governo negacionista que atrasou o acesso vacina e medidas sanitrias fundamentais. o brasil o pas no mundo c/ mais mortos por covid-19, e o q mais teve mortes em . forabolsonaro pelas vidas perdidas e pelas famlias em luto.']",brasil - mortes - mil - covid - vidas - brasileiros - mortos - governo - perdidas - auxlio,0.33210526020268405,False
711,"a pandemia no acabou. at ontem (09/07), brasil registrou mortes. com mais mil casos, no pas milhoes foram contaminados. no am j so casos e mortes. em horas casos novos e mortes segundo a fvs. tem gente se arriscando. acelera vacinao.",4,4_brasil_mortes_mil_covid,Mortes de COVID-19,"['brasil', 'mortes', 'mil', 'covid', 'vidas', 'brasileiros', 'mortos', 'governo', 'perdidas', 'auxlio']","['ultrapassamos hoje a triste marca de mil mortes pela covid19. o brasil est de luto por todas as vidas interrompidas. a nossa solidariedade a todos que perderam entes queridos. precisamos urgentemente de uma vacina e de um governo que tenha compromisso com a populao.', 'hoje o brasil alcanou tristemente a marca de mil mortos por covid-19 no brasil. meio milho de vidas que se foram, mais da metade delas por falta de vacinas e a outra por omisso de bolsonaro na pandemia. o brasil est de luto.', 'mortos pela negligncia de um governo negacionista que atrasou o acesso vacina e medidas sanitrias fundamentais. o brasil o pas no mundo c/ mais mortos por covid-19, e o q mais teve mortes em . forabolsonaro pelas vidas perdidas e pelas famlias em luto.']",brasil - mortes - mil - covid - vidas - brasileiros - mortos - governo - perdidas - auxlio,0.27488227997661596,False
739,"hoje o brasil alcanou tristemente a marca de mil mortos por covid-19 no brasil. meio milho de vidas que se foram, mais da metade delas por falta de vacinas e a outra por omisso de bolsonaro na pandemia. o brasil est de luto.",4,4_brasil_mortes_mil_covid,Mortes de COVID-19,"['brasil', 'mortes', 'mil', 'covid', 'vidas', 'brasileiros', 'mortos', 'governo', 'perdidas', 'auxlio']","['ultrapassamos hoje a triste marca de mil mortes pela covid19. o brasil est de luto por todas as vidas interrompidas. a nossa solidariedade a todos que perderam entes queridos. precisamos urgentemente de uma vacina e de um governo que tenha compromisso com a populao.', 'hoje o brasil alcanou tristemente a marca de mil mortos por covid-19 no brasil. meio milho de vidas que se foram, mais da metade delas por falta de vacinas e a outra por omisso de bolsonaro na pandemia. o brasil est de luto.', 'mortos pela negligncia de um governo negacionista que atrasou o acesso vacina e medidas sanitrias fundamentais. o brasil o pas no mundo c/ mais mortos por covid-19, e o q mais teve mortes em . forabolsonaro pelas vidas perdidas e pelas famlias em luto.']",brasil - mortes - mil - covid - vidas - brasileiros - mortos - governo - perdidas - auxlio,0.4988967596115068,True
778,"que marca triste. brasil atinge mortes por covid. no am sao mortes. foram milhes contaminados no pas, sendo mil no am. e continua crescendo. ser que a cpi do senado vai apontar culpados? \nmanaus e o pas sem vacinas. algum ainda quer esse governo?",4,4_brasil_mortes_mil_covid,Mortes de COVID-19,"['brasil', 'mortes', 'mil', 'covid', 'vidas', 'brasileiros', 'mortos', 'governo', 'perdidas', 'auxlio']","['ultrapassamos hoje a triste marca de mil mortes pela covid19. o brasil est de luto por todas as vidas interrompidas. a nossa solidariedade a todos que perderam entes queridos. precisamos urgentemente de uma vacina e de um governo que tenha compromisso com a populao.', 'hoje o brasil alcanou tristemente a marca de mil mortos por covid-19 no brasil. meio milho de vidas que se foram, mais da metade delas por falta de vacinas e a outra por omisso de bolsonaro na pandemia. o brasil est de luto.', 'mortos pela negligncia de um governo negacionista que atrasou o acesso vacina e medidas sanitrias fundamentais. o brasil o pas no mundo c/ mais mortos por covid-19, e o q mais teve mortes em . forabolsonaro pelas vidas perdidas e pelas famlias em luto.']",brasil - mortes - mil - covid - vidas - brasileiros - mortos - governo - perdidas - auxlio,0.2898404571722622,False
780,"o brasil quadruplica mortes por covid no ltimo ms e chega a mil vtimas sem que o governo federal tenha colocado em prtica um plano nacional efetivo de combate pandemia. no temos vacinas suficientes, no temos plano nacional de conteno do vrus. temos um genocida!",4,4_brasil_mortes_mil_covid,Mortes de COVID-19,"['brasil', 'mortes', 'mil', 'covid', 'vidas', 'brasileiros', 'mortos', 'governo', 'perdidas', 'auxlio']","['ultrapassamos hoje a triste marca de mil mortes pela covid19. o brasil est de luto por todas as vidas interrompidas. a nossa solidariedade a todos que perderam entes queridos. precisamos urgentemente de uma vacina e de um governo que tenha compromisso com a populao.', 'hoje o brasil alcanou tristemente a marca de mil mortos por covid-19 no brasil. meio milho de vidas que se foram, mais da metade delas por falta de vacinas e a outra por omisso de bolsonaro na pandemia. o brasil est de luto.', 'mortos pela negligncia de um governo negacionista que atrasou o acesso vacina e medidas sanitrias fundamentais. o brasil o pas no mundo c/ mais mortos por covid-19, e o q mais teve mortes em . forabolsonaro pelas vidas perdidas e pelas famlias em luto.']",brasil - mortes - mil - covid - vidas - brasileiros - mortos - governo - perdidas - auxlio,0.3016737017708297,False
