,Document,Topic,Name,CustomName,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
14,avisa esse ministro da educao que as escolas s no abriram porque o presidente genocida dele atrasou a compra de vacinas e quando resolveu comprar superfaturou os contratos,3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,1.0,False
35,"o senador do ac que destinou r$ mi em emendas extra-oramentrias do oramento paralelo para outros estados agora ataca os professores, alegando que estes, ao reinvidicar vacinas para poder retornar s aulas, esto exigindo privilgios. srio, isso?\n\n",3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,0.28241467343926463,False
46,"o governo do ac lento e patina nas atitudes. o pessoal da educao est sem reajustes h mais de anos e corre o risco de ter que voltar para as salas de aula sem ter tomado vacina. os professores passando aperto e eles l, pensando... sei no!",3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,0.30025130198929423,False
287,"com muita alegria, comunico que a partir de hoje (14/05) os trabalhadores da educao bsica e do ensino superior com + j podem se vacinar. nossos pontos funcionaro de h s h. \n\n dvidas e documentos consulte o site: segue avanando!",3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,0.22945002597689512,False
548,em breve nossos policiais e profissionais da educao vacinados!,3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,0.6316018066340754,False
549,policiais e professores em breve vacinados!,3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,0.28400609817314154,False
659,triste que tendo um dos maiores potenciais fitoterpicos do planeta no tenhamos investimento cientfico pra produzir a vacina manauara. \nespero que agora as pessoas entendam o quanto necessrio investir permanentemente em educao e cincia.,3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,0.247219381017696,False
736,lamentvel a deciso da desembargadora joana meireles ameaando descontar dia de salrio de professor que recusa a volta a sala de aula porque s foi vacinado com a dose. qual garantia h nas escolas? sem a dose no h imunizao contra covid. nem a magistrada voltaria escola,3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,0.2872103876186319,False
754,j me pronunciei inmeras vezes que volta s aulas presenciais s com toda comunidade escolar vacinada. os trabalhadores da educao tm meu apoio na paralizao.,3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,0.2944754941832028,False
759,os professores no aceitam a volta s aulas sem garantias de proteo na sade e vacinao. em assembleia do sindicato foi definida greve em funo da questo sanitria. justo. muitos professores morreram ano passado na retorno s aulas. meu apoio aos trabalhadores da educao,3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,0.2849493228826567,False
761,o governo do amazonas vai por em risco os trabalhadores da educao e estudantes com essa ao de retorno as aulas presenciais. continuo apoiando os professores que esto com indicativo de greve para garantir o retorno aps a vacinao da comunidade escolar.,3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,0.22835656513879318,False
762,"a pandemia mostrou ainda mais como a educao domiciliar reduz o acesso ao ensino. estudantes e professores precisam de vacinas e segurana para retornarem ao ensino presencial, e a educao pblica precisa de mais investimentos!\nnoeducaodomiciliar",3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,0.28875099248529124,False
801,"mesmo sem vacinao garantida para professores e estudantes, deputados da cmara votaram agora a noite para obrigar a volta as aulas, para atender interesses de escolas e faculdades particulares. votei contra, junto com os deputados que defendem a vida e a educao segura.",3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,0.2679293414272962,False
802,"aprovado o pl /20 que enquadra ensino bsico e superior como atividade essencial e quer obrigar a volta s aulas mesmo sem vacinao e segurana nas escolas, alm de impedir greves na educao. votei contra essa aberrao. temos que garantir a vida dos professores e alunos.",3,3_educao_professores_aulas_profissionais,Educação Brasileira,"['educao', 'professores', 'aulas', 'profissionais', 'escolas', 'trabalhadores', 'ensino', 'presenciais', 'vacinao', 'prioridade']","['educao prioridade e assim deve ser na vacinao contra a covid-19! minha medida para que professores e profissionais do ensino sejam vacinados desde j virou lei. saiba mais: delegadamartharocha educao covid19 vacina riodejaneiro', 'a vacinao para todos os trabalhadores da educao. equipeed', 'segunda-feira feliz para os professores e profissionais de educao que esto de volta ao calendrio de imunizao contra covid-19.']",educao - professores - aulas - profissionais - escolas - trabalhadores - ensino - presenciais - vacinao - prioridade,0.23880893547978466,False
